日期,渠道,地区,负责人,客户类型,线索数,成交数,成交金额,满意度
2026-06-01,官网表单,华北,小王,新客户,35,8,56000,4.6
2026-06-02,活动报名,华东,小李,老客户,22,6,41000,4.8
2026-06-03,微信公众号,华南,小陈,新客户,18,3,18000,4.2
2026-06-04,官网表单,华东,小赵,新客户,27,5,36000,4.4
2026-06-05,销售录入,西南,小王,老客户,16,4,29000,4.9
2026-06-06,活动报名,华北,小吴,新客户,31,7,47000,4.5
2026-06-07,官网表单,华中,小李,渠道客户,24,4,32500,4.1
2026-06-08,微信公众号,华南,小陈,新客户,29,6,39500,4.7
2026-06-09,销售录入,西北,小赵,老客户,14,2,16000,4.0
2026-06-10,活动报名,华东,小吴,渠道客户,26,5,35000,4.3
2026-06-11,官网表单,华北,小王,新客户,33,9,61500,4.9
2026-06-12,微信公众号,华中,小陈,老客户,20,4,28000,4.5
